number,carat,cut,color,clarity,depth,table,price,x,y,z,PB 
32031,0.39,Premium,E,SI2,60.7,62,778,4.74,4.72,2.87,1
32032,0.3,Ideal,E,VS1,62.5,56,778,4.3,4.28,2.68,1
32033,0.44,Premium,E,SI1,62.3,58,778,4.85,4.88,3.03,1
32034,0.31,Very Good,F,VVS1,59.4,57,779,4.39,4.43,2.62,1
32035,0.32,Ideal,E,VVS2,61.3,57,779,4.39,4.42,2.7,1
32036,0.32,Ideal,E,VVS2,62.1,53,779,4.41,4.44,2.75,1
32037,0.32,Ideal,E,VVS2,60.4,59,779,4.45,4.49,2.7,1
32038,0.3,Ideal,E,VVS2,62.2,54.4,779,4.3,4.32,2.68,1
32039,0.3,Ideal,E,VVS2,61.7,53.8,779,4.31,4.34,2.67,1
32040,0.3,Ideal,E,VVS2,62.3,54.1,779,4.28,4.34,2.69,1
32041,0.32,Ideal,E,VVS2,61.3,54,779,4.42,4.45,2.72,1
32042,0.31,Ideal,D,VVS2,61.9,56,779,4.32,4.37,2.69,1
32043,0.32,Ideal,G,VVS1,60.3,58,779,4.44,4.48,2.69,1
32044,0.32,Ideal,G,VVS1,61.7,56,779,4.39,4.42,2.72,1
32045,0.31,Ideal,F,VVS1,60.4,59,779,4.35,4.43,2.65,1
32046,0.31,Good,F,VS1,63.9,55,779,4.3,4.27,2.74,1
32047,0.37,Very Good,E,VVS2,61.2,55,779,4.63,4.68,2.85,1
32048,0.41,Very Good,D,VS2,62.8,58,779,4.73,4.76,2.98,1
32049,0.36,Very Good,D,VS2,62.4,58,780,4.48,4.53,2.81,1
32050,0.43,Ideal,I,VS2,62.1,57,780,4.83,4.86,3.01,1
32051,0.34,Ideal,D,VS1,61.4,57,780,4.49,4.54,2.77,1
32052,0.32,Ideal,D,VS1,60.3,57,780,4.42,4.44,2.67,1
32053,0.35,Ideal,D,SI1,61.5,56,780,4.54,4.57,2.8,1
32054,0.35,Ideal,D,SI1,61.1,56,780,4.55,4.59,2.79,1
32055,0.3,Good,F,IF,64.3,53,780,4.22,4.27,2.73,1
32056,0.28,Premium,E,VVS2,58.7,60,780,4.34,4.31,2.54,1
32057,0.28,Ideal,D,VVS1,61.7,57,780,4.23,4.2,2.6,1
32058,0.33,Premium,I,VVS1,61.9,60,780,4.44,4.41,2.74,1
32059,0.33,Premium,I,VVS1,61.7,61,780,4.45,4.43,2.74,1
32060,0.33,Premium,I,VVS1,62.5,61,780,4.42,4.38,2.75,1
32061,0.33,Premium,D,SI1,60.3,58,780,4.49,4.47,2.7,1
32062,0.33,Premium,D,SI1,60,59,780,4.5,4.47,2.69,1
32063,0.33,Ideal,D,SI1,62.5,54,780,4.44,4.43,2.77,1
32064,0.33,Ideal,D,SI1,61.3,56,780,4.46,4.44,2.73,1
32065,0.33,Premium,D,SI1,60.1,59,780,4.49,4.46,2.69,1
32066,0.33,Ideal,D,SI1,62.8,56,780,4.43,4.39,2.77,1
32067,0.33,Ideal,D,SI1,62.7,55,780,4.44,4.4,2.77,1
32068,0.33,Premium,D,SI1,61.5,60,780,4.44,4.41,2.72,1
32069,0.33,Ideal,D,SI1,62.4,54,780,4.44,4.41,2.76,1
32070,0.33,Ideal,D,SI1,62.8,55,780,4.45,4.41,2.78,1
32071,0.33,Premium,D,SI1,60.4,60,780,4.46,4.41,2.68,1
32072,0.32,Ideal,E,VS2,61.4,57,780,4.46,4.4,2.72,1
32073,0.32,Good,E,VS2,57,60,780,4.6,4.53,2.6,1
32074,0.36,Very Good,F,VS1,61.3,54,781,4.63,4.65,2.84,1
32075,0.32,Ideal,F,VS2,61.4,55,781,4.43,4.46,2.73,1
32076,0.32,Ideal,F,VS2,61.4,55,781,4.42,4.44,2.72,1
32077,0.33,Ideal,D,VS2,62.1,56,781,4.44,4.48,2.77,1
32078,0.33,Ideal,D,VS2,62.1,54,781,4.43,4.46,2.76,1
32079,0.33,Ideal,D,VS2,61.8,56,781,4.45,4.48,2.76,1
32080,0.33,Premium,D,VS2,60.7,58,781,4.46,4.5,2.72,1
32081,0.33,Very Good,D,VS2,62.8,54,781,4.43,4.46,2.79,1
32082,0.33,Very Good,E,VS1,61.6,56,781,4.43,4.46,2.74,1
32083,0.33,Ideal,D,VS2,62.3,57,781,4.41,4.45,2.76,1
32084,0.33,Ideal,E,VS1,59.6,56,781,4.49,4.54,2.69,1
32085,0.33,Ideal,D,VS2,60.9,55,781,4.47,4.5,2.73,1
32086,0.33,Ideal,D,VS2,61.9,53,781,4.46,4.49,2.77,1
32087,0.33,Premium,E,VS1,60.9,58,781,4.45,4.49,2.72,1
32088,0.33,Ideal,D,VS2,62.3,56,781,4.43,4.46,2.77,1
32089,0.33,Ideal,D,VS2,62.6,56,781,4.39,4.43,2.76,1
32090,0.33,Ideal,D,VS2,61.8,56,781,4.4,4.44,2.73,1
32091,0.33,Premium,E,VS1,61.6,58,781,4.41,4.45,2.73,1
32092,0.33,Ideal,D,VS2,62.5,55,781,4.41,4.45,2.77,1
32093,0.33,Ideal,E,VS1,60.2,57,781,4.48,4.52,2.71,1
32094,0.33,Ideal,D,VS2,60.7,57,781,4.46,4.5,2.72,1
32095,0.33,Ideal,E,VS1,62.6,57,781,4.4,4.42,2.76,1
32096,0.33,Premium,E,VS1,61.5,59,781,4.42,4.46,2.73,1
32097,0.33,Ideal,D,VS2,61.9,57,781,4.42,4.47,2.75,1
32098,0.33,Ideal,E,VS1,62.7,57,781,4.38,4.45,2.77,1
32099,0.33,Ideal,D,VS2,60.9,55,781,4.46,4.5,2.73,1
32100,0.33,Ideal,E,VS1,60.6,57,781,4.5,4.54,2.74,1
32101,0.33,Ideal,D,VS2,62.1,56,781,4.42,4.47,2.76,1
32102,0.33,Ideal,D,VS2,62.5,56,781,4.43,4.46,2.78,1
32103,0.33,Ideal,D,VS2,61.9,56,781,4.42,4.44,2.74,1
32104,0.33,Premium,D,VS2,61.2,58,781,4.41,4.44,2.71,1
32105,0.33,Ideal,D,VS2,62.1,55,781,4.43,4.46,2.76,1
32106,0.36,Ideal,D,VS1,61.8,55,781,4.54,4.58,2.82,1
32107,0.4,Very Good,I,VVS2,63.7,58,782,4.64,4.68,2.97,1
32108,0.35,Ideal,F,VS1,61.9,55,782,4.53,4.58,2.82,1
32109,0.36,Ideal,E,VS1,60.9,57,782,4.6,4.63,2.81,1
32110,0.47,Ideal,H,SI2,62.4,53,782,4.98,5.02,3.12,1
32111,0.47,Ideal,H,SI2,61.8,54,782,5.01,5.05,3.11,1
32112,0.3,Very Good,F,VVS1,61.8,55,783,4.32,4.35,2.68,1
32113,0.36,Ideal,H,VVS1,62,54,783,4.59,4.61,2.85,1
32114,0.25,Ideal,E,VVS1,62.3,53,783,4.08,4.11,2.55,1
32115,0.43,Ideal,H,SI1,61.9,55,783,4.84,4.88,3.01,1
32116,0.32,Ideal,H,IF,61.9,54.2,783,4.38,4.42,2.72,1
32117,0.4,Good,G,VS1,63.4,56,783,4.68,4.72,2.98,1
32118,0.39,Very Good,H,VVS2,62.4,57,784,4.67,4.7,2.92,1
32119,0.37,Very Good,E,VS1,63.5,59,784,4.55,4.59,2.9,1
32120,0.34,Very Good,E,VS1,62.3,53,784,4.47,4.52,2.8,1
32121,0.42,Very Good,D,SI1,62.3,58,784,4.8,4.83,3,1
32122,0.34,Ideal,F,VVS2,61.7,55,784,4.49,4.52,2.78,1
32123,0.47,Ideal,G,SI2,61.3,56,784,4.98,5.01,3.06,1
32124,0.47,Ideal,G,SI2,62.4,55,784,4.96,5.01,3.11,1
32125,0.4,Good,F,VS2,62.2,61,784,4.71,4.74,2.94,1
32126,0.41,Good,J,VS2,64.3,55,784,4.7,4.66,3.01,1
32127,0.41,Premium,J,VS2,61.9,59,784,4.74,4.69,2.92,1
32128,0.41,Very Good,J,VS2,63.4,56,784,4.73,4.7,2.99,1
32129,0.41,Good,I,SI1,63.8,57,784,4.7,4.67,2.99,1
32130,0.41,Very Good,G,SI2,63.4,58,784,4.73,4.7,2.99,1
32131,0.41,Good,G,SI2,63.6,54,784,4.74,4.7,3,1
32132,0.41,Premium,G,SI2,61.4,58,784,4.8,4.75,2.93,1
32133,0.41,Premium,F,SI2,60.9,58,784,4.82,4.8,2.93,1
32134,0.41,Ideal,I,VVS1,62.3,53,785,4.77,4.79,2.98,1
32135,0.44,Very Good,G,SI1,60.3,58,786,4.94,4.99,2.99,1
32136,0.3,Ideal,E,VVS2,60.9,57,786,4.32,4.35,2.64,1
32137,0.36,Ideal,F,VS2,60.5,57,786,4.61,4.65,2.8,1
32138,0.31,Ideal,G,IF,62.8,56,786,4.34,4.39,2.74,1
32139,0.31,Premium,H,VVS1,61.8,59,786,4.36,4.32,2.68,1
32140,0.31,Good,H,VVS1,63.7,56,786,4.33,4.3,2.75,1
32141,0.32,Ideal,F,VVS2,61.2,57,786,4.4,4.43,2.7,1
32142,0.4,Good,D,VS2,63.5,56,786,4.66,4.72,2.98,1
32143,0.32,Ideal,G,VVS1,61.8,56,786,4.39,4.41,2.72,1
32144,0.32,Ideal,F,VVS2,62.1,54,786,4.41,4.44,2.75,1
32145,0.32,Ideal,F,VVS2,61.9,57,786,4.36,4.39,2.71,1
32146,0.32,Very Good,F,VVS2,61.8,60,786,4.36,4.41,2.71,1
32147,0.32,Ideal,F,VVS2,62,55,786,4.39,4.41,2.73,1
32148,0.4,Good,D,VS2,63.2,57,786,4.65,4.71,2.96,1
32149,0.4,Very Good,F,VS1,62.2,55,786,4.68,4.74,2.93,1
32150,0.28,Very Good,F,IF,59.8,56,787,4.27,4.29,2.56,1
32151,0.39,Ideal,I,VVS2,62.3,54,787,4.66,4.69,2.91,1
32152,0.28,Ideal,F,VVS2,62.6,55,787,4.2,4.23,2.64,1
32153,0.28,Ideal,F,VVS2,61.8,56,787,4.18,4.22,2.6,1
32154,0.28,Ideal,F,VVS2,61.5,57,787,4.19,4.24,2.59,1
32155,0.28,Ideal,F,VVS2,62.2,53,787,4.22,4.23,2.63,1
32156,0.28,Ideal,F,VVS2,62.6,54,787,4.21,4.22,2.64,1
32157,0.28,Ideal,E,VVS2,60.8,55,787,4.26,4.29,2.6,1
32158,0.28,Ideal,E,VVS1,60.6,55,787,4.28,4.3,2.6,1
32159,0.28,Ideal,E,VVS1,61.2,54,787,4.24,4.26,2.6,1
32160,0.39,Ideal,G,VS2,62.2,53.9,787,4.66,4.69,2.9,1
32161,0.38,Ideal,D,VS2,60.8,57,787,4.66,4.68,2.84,1
32162,0.34,Ideal,D,VS1,61.2,58,787,4.45,4.5,2.74,1
32163,0.47,Ideal,H,SI1,61.1,55,787,5.04,5.07,3.09,1
32164,0.28,Ideal,F,IF,62.6,53,787,4.18,4.19,2.62,1
32165,0.28,Ideal,F,IF,61.4,57,787,4.22,4.25,2.6,1
32166,0.28,Ideal,F,IF,61.9,56,787,4.18,4.21,2.59,1
32167,0.41,Ideal,H,SI2,61.7,56,787,4.8,4.77,2.95,1
32168,0.41,Ideal,H,SI2,60.8,57,787,4.84,4.8,2.93,1
32169,0.46,Good,F,SI2,64,57,787,4.88,4.83,3.11,1
32170,0.3,Premium,G,VS1,62.5,59,787,4.32,4.25,2.68,1
32171,0.37,Premium,G,VVS2,62.2,58,787,4.56,4.6,2.85,1
32172,0.33,Very Good,H,IF,62.9,58,787,4.38,4.43,2.77,1
32173,0.33,Very Good,H,IF,61.7,59,787,4.43,4.45,2.74,1
32174,0.3,Good,D,VVS2,63.5,58,787,4.23,4.31,2.71,1
32175,0.39,Very Good,G,VS2,62.4,56,787,4.64,4.68,2.91,1
32176,0.39,Good,G,VS2,63.3,57,787,4.61,4.65,2.93,1
32177,0.39,Very Good,H,VS1,61.7,57,787,4.65,4.68,2.88,1
32178,0.39,Premium,G,VS2,61.2,60,787,4.68,4.73,2.88,1
32179,0.39,Good,G,VS2,63.4,57,787,4.63,4.67,2.95,1
32180,0.39,Very Good,I,VVS2,63,56,787,4.62,4.68,2.93,1
32181,0.39,Very Good,G,VS2,60.4,61,787,4.67,4.7,2.83,1
32182,0.39,Premium,G,VS2,62.3,59,787,4.65,4.69,2.91,1
32183,0.39,Good,G,VS2,63.8,59,787,4.66,4.59,2.95,1
32184,0.41,Very Good,H,VS1,61.5,55,788,4.8,4.82,2.96,1
32185,0.42,Very Good,F,SI1,62.3,56,788,4.78,4.81,2.99,1
32186,0.41,Ideal,I,VVS2,61.6,55,788,4.78,4.8,2.95,1
32187,0.39,Ideal,H,VS2,61.6,56,788,4.68,4.71,2.89,1
32188,0.41,Ideal,G,SI1,61.2,56,788,4.8,4.84,2.95,1
32189,0.35,Ideal,H,VS1,62,56,788,4.56,4.54,2.82,1
32190,0.35,Ideal,I,VVS2,62.3,57,788,4.53,4.49,2.81,1
32191,0.35,Premium,H,VS1,61.3,59,788,4.57,4.54,2.79,1
32192,0.35,Premium,H,VS1,62.6,59,788,4.5,4.45,2.8,1
32193,0.35,Premium,H,VS1,62.6,58,788,4.52,4.49,2.82,1
32194,0.35,Premium,H,VS1,61.7,59,788,4.53,4.51,2.79,1
32195,0.35,Ideal,E,SI1,60.9,55,788,4.57,4.53,2.77,1
32196,0.35,Premium,E,SI1,59.7,60,788,4.58,4.53,2.72,1
32197,0.35,Ideal,E,SI1,61,57,788,4.57,4.54,2.78,1
32198,0.35,Premium,E,SI1,61.2,58,788,4.59,4.53,2.79,1
32199,0.35,Ideal,E,SI1,62.3,56,788,4.56,4.53,2.83,1
32200,0.35,Premium,E,SI1,60.7,59,788,4.57,4.52,2.76,1
32201,0.35,Ideal,E,SI1,61.2,57,788,4.56,4.52,2.78,1
32202,0.35,Premium,E,SI1,60.8,60,788,4.57,4.51,2.76,1
32203,0.35,Premium,E,SI1,61.1,59,788,4.56,4.5,2.77,1
32204,0.35,Premium,E,SI1,62.7,57,788,4.52,4.47,2.82,1
32205,0.35,Premium,E,SI1,62.9,58,788,4.52,4.48,2.83,1
32206,0.35,Premium,E,SI1,61.9,58,788,4.52,4.49,2.79,1
32207,0.3,Premium,E,VS2,62.6,62,788,4.25,4.21,2.65,1
32208,0.35,Very Good,H,VS1,60.8,63,788,4.57,4.54,2.77,1
32209,0.35,Ideal,F,VS1,62.4,57,788,4.49,4.52,2.81,1
32210,0.39,Good,F,VS2,63.3,55,788,4.63,4.66,2.94,1
32211,0.31,Premium,D,VS1,59.7,58,788,4.4,4.45,2.64,1
32212,0.31,Ideal,E,VVS2,61.5,59,789,4.36,4.39,2.69,1
32213,0.31,Ideal,G,VVS1,60.9,55,789,4.4,4.43,2.69,1
32214,0.31,Ideal,G,VVS1,62.1,55,789,4.34,4.39,2.71,1
32215,0.31,Ideal,G,VVS1,61.5,55,789,4.39,4.42,2.71,1
32216,0.31,Ideal,G,VVS1,62,54,789,4.38,4.39,2.72,1
32217,0.31,Ideal,G,VVS1,61.3,56,789,4.37,4.41,2.69,1
32218,0.31,Ideal,G,VVS1,61.8,54,789,4.39,4.41,2.72,1
32219,0.31,Ideal,G,VVS1,62.5,54,789,4.36,4.38,2.73,1
32220,0.31,Ideal,G,VVS1,61.8,54,789,4.38,4.42,2.72,1
32221,0.31,Ideal,G,VVS1,62.3,54,789,4.37,4.4,2.73,1
32222,0.31,Ideal,G,VVS1,62.2,55,789,4.33,4.38,2.71,1
32223,0.31,Ideal,G,VVS1,62,56,789,4.38,4.4,2.72,1
32224,0.31,Ideal,G,VVS1,60.2,58,789,4.37,4.4,2.64,1
32225,0.31,Ideal,G,VVS1,61.9,55,789,4.38,4.41,2.72,1
32226,0.31,Ideal,G,VVS1,61.9,54,789,4.38,4.41,2.72,1
32227,0.31,Ideal,G,VVS1,62.5,54,789,4.34,4.37,2.72,1
32228,0.31,Ideal,G,VVS1,61.9,54,789,4.35,4.37,2.7,1
32229,0.31,Ideal,G,VVS1,62,55,789,4.34,4.37,2.7,1
32230,0.31,Ideal,G,VVS1,61.6,55,789,4.38,4.42,2.71,1
32231,0.31,Ideal,G,VVS1,62.1,55,789,4.33,4.36,2.7,1
32232,0.31,Ideal,G,VVS1,62,53,789,4.35,4.39,2.71,1
32233,0.31,Ideal,G,VVS1,61.6,57,789,4.34,4.36,2.68,1
32234,0.31,Ideal,G,VVS1,61,57,789,4.38,4.4,2.68,1
32235,0.31,Ideal,G,VVS1,61.7,54,789,4.36,4.39,2.7,1
32236,0.31,Ideal,G,VVS1,62.6,53,789,4.37,4.38,2.74,1
32237,0.31,Ideal,G,VVS1,61,56,789,4.36,4.4,2.67,1
32238,0.31,Ideal,G,VVS1,61.5,54,789,4.36,4.39,2.69,1
32239,0.31,Ideal,G,VVS1,62.1,53,789,4.36,4.4,2.72,1
32240,0.38,Ideal,F,VS2,62.1,53.8,789,4.66,4.67,2.9,1
32241,0.43,Ideal,I,VS1,62.2,53,789,4.86,4.91,3.04,1
32242,0.43,Ideal,G,SI1,62.6,56,789,4.79,4.82,3.01,1
32243,0.31,Ideal,H,IF,61.3,56,789,4.37,4.41,2.69,1
32244,0.31,Ideal,H,IF,61.4,56,789,4.39,4.41,2.7,1
32245,0.31,Ideal,H,IF,61.3,56,789,4.39,4.42,2.7,1
32246,0.31,Ideal,H,IF,61.8,57,789,4.32,4.35,2.68,1
32247,0.31,Ideal,H,IF,62,54,789,4.38,4.4,2.72,1
32248,0.31,Ideal,H,IF,62.3,55,789,4.32,4.35,2.7,1
32249,0.31,Ideal,H,IF,61.2,56,789,4.36,4.4,2.68,1
32250,0.31,Ideal,H,IF,62.2,54,789,4.38,4.4,2.73,1
32251,0.31,Ideal,H,IF,62.2,54,789,4.38,4.4,2.73,1
32252,0.36,Very Good,E,VS2,61.3,60,789,4.55,4.59,2.8,1
32253,0.3,Premium,G,VVS1,61.8,59,789,4.28,4.33,2.66,1
32254,0.3,Premium,E,VVS2,60.1,59,789,4.32,4.37,2.61,1
32255,0.3,Ideal,E,VVS2,60.2,57,789,4.37,4.4,2.64,1
32256,0.3,Ideal,E,VVS2,61.6,57,789,4.29,4.32,2.65,1
32257,0.3,Ideal,G,VVS1,62.6,54,789,4.25,4.28,2.67,1
32258,0.36,Very Good,E,VS2,62.1,59,789,4.55,4.59,2.84,1
32259,0.3,Ideal,H,IF,60.8,56,789,4.35,4.37,2.65,1
32260,0.3,Ideal,E,VVS2,61.7,57,789,4.31,4.34,2.67,1
32261,0.3,Very Good,G,VVS1,62.8,58,789,4.27,4.3,2.69,1
32262,0.3,Very Good,E,VVS2,61.4,60,789,4.25,4.28,2.62,1
32263,0.36,Ideal,F,VS1,61.9,56,789,4.56,4.59,2.83,1
32264,0.3,Very Good,G,VVS1,62.7,59,789,4.22,4.27,2.66,1
32265,0.3,Ideal,H,IF,61.5,56,789,4.31,4.34,2.66,1
32266,0.3,Ideal,G,VVS1,62.3,55,789,4.29,4.31,2.68,1
32267,0.3,Good,G,VVS1,63.3,55,789,4.26,4.3,2.71,1
32268,0.3,Ideal,E,VVS2,61.7,55,789,4.28,4.31,2.65,1
32269,0.3,Ideal,G,VVS1,62,55,789,4.31,4.34,2.68,1
32270,0.3,Ideal,G,VVS1,61.3,56,789,4.3,4.34,2.65,1
32271,0.3,Ideal,E,VVS2,61.9,57,789,4.28,4.32,2.66,1
32272,0.3,Very Good,G,VVS1,62.9,57,789,4.26,4.3,2.69,1
32273,0.3,Very Good,E,VVS2,60.8,60,789,4.27,4.31,2.61,1
32274,0.36,Very Good,E,VS2,62.3,58,789,4.51,4.55,2.82,1
32275,0.3,Premium,G,VVS1,60.5,59,789,4.33,4.36,2.63,1
32276,0.3,Premium,G,VVS1,60.7,58,789,4.34,4.36,2.64,1
32277,0.36,Ideal,F,VS1,62.5,57,789,4.53,4.56,2.84,1
32278,0.36,Ideal,F,VS1,60.1,57,789,4.62,4.67,2.79,1
32279,0.3,Very Good,E,VVS2,61.3,59,789,4.3,4.32,2.64,1
32280,0.3,Ideal,G,VVS1,62.3,54,789,4.31,4.33,2.69,1
32281,0.26,Very Good,F,VS1,61.7,58,453,4.1,4.14,2.54,1
32282,0.26,Very Good,F,VS1,60.5,59,453,4.12,4.18,2.51,1
32283,0.26,Very Good,E,VS1,63,59,453,4.03,4.06,2.55,1
32284,0.26,Very Good,E,VS1,60.7,59,453,4.09,4.12,2.49,1
32285,0.31,Ideal,J,VVS2,62.2,54,453,4.36,4.39,2.72,1
32286,0.31,Ideal,J,VVS2,61.8,54,453,4.38,4.39,2.71,1
32287,0.26,Ideal,F,VS2,62.1,57,453,4.06,4.12,2.54,1
32288,0.33,Ideal,G,SI1,61.8,54,453,4.46,4.5,2.77,1
32289,0.28,Ideal,F,SI1,62.3,54,453,4.21,4.23,2.63,1
32290,0.26,Good,F,VS1,58,58,453,4.2,4.25,2.45,1
32291,0.31,Premium,J,SI1,59.4,62,453,4.43,4.39,2.62,1
32292,0.31,Premium,J,SI1,58.1,62,453,4.47,4.44,2.59,1
32293,0.3,Ideal,H,VS2,61.7,57,454,4.28,4.32,2.65,1
32294,0.3,Ideal,H,VS2,61.4,57,454,4.33,4.36,2.67,1
32295,0.3,Ideal,I,VS1,61.5,58,454,4.28,4.31,2.64,1
32296,0.25,Ideal,G,VS1,62.7,56,454,4.01,4.04,2.52,1
32297,0.25,Ideal,G,VS1,62.5,55,454,4,4.02,2.51,1
32298,0.34,Ideal,E,SI2,62.4,54,454,4.49,4.52,2.81,1
32299,0.34,Ideal,E,SI2,61.3,55,454,4.49,4.52,2.76,1
32300,0.34,Ideal,E,SI2,61.4,55,454,4.5,4.52,2.77,1
32301,0.32,Ideal,D,SI2,61.7,55,454,4.39,4.42,2.72,1
32302,0.37,Premium,J,VS2,60.7,60,454,4.65,4.68,2.83,1
32303,0.37,Premium,J,VS2,61.1,60,454,4.6,4.63,2.82,1
32304,0.35,Good,E,SI2,64,55,454,4.45,4.49,2.86,1
32305,0.25,Very Good,I,VVS2,61.6,56,455,4.06,4.09,2.51,1
32306,0.28,Ideal,G,SI1,61.2,54,455,4.22,4.27,2.6,1
32307,0.26,Ideal,F,VS2,62.1,54,456,4.09,4.12,2.55,1
32308,0.26,Ideal,F,VS2,62.3,56,456,4.1,4.12,2.56,1
32309,0.33,Ideal,J,VS1,61.9,54.3,456,4.45,4.47,2.76,1
32310,0.26,Ideal,G,VS1,62.1,54,456,4.1,4.14,2.56,1
32311,0.36,Very Good,E,VS2,62.8,56,789,4.51,4.54,2.84,1
32312,0.3,Very Good,G,VVS1,62.1,61,789,4.27,4.3,2.66,1
32313,0.36,Ideal,E,VS2,62.6,56,789,4.52,4.56,2.84,1
32314,0.36,Premium,F,VS1,60.7,58,789,4.57,4.62,2.79,1
32315,0.36,Ideal,E,VS2,60.8,56,789,4.6,4.64,2.81,1
32316,0.3,Ideal,G,VVS1,61.7,57,789,4.3,4.32,2.66,1
32317,0.3,Premium,G,VVS1,62.6,58,789,4.27,4.29,2.68,1
32318,0.36,Premium,E,VS2,60.3,59,789,4.58,4.64,2.78,1
32319,0.3,Good,G,VVS1,63.5,57,789,4.23,4.27,2.7,1
32320,0.3,Good,G,VVS1,63.5,57,789,4.24,4.27,2.7,1
32321,0.3,Premium,H,IF,60.4,60,789,4.3,4.34,2.61,1
32322,0.36,Premium,E,VS2,61.3,60,789,4.54,4.59,2.8,1
32323,0.36,Very Good,E,VS2,59.8,62,789,4.56,4.61,2.74,1
32324,0.3,Very Good,G,VVS1,62.4,57,789,4.27,4.29,2.67,1
32325,0.36,Ideal,E,VS2,62.1,55,789,4.54,4.58,2.83,1
32326,0.3,Good,G,VVS1,63.2,58,789,4.23,4.25,2.68,1
32327,0.3,Premium,E,VVS2,61.5,60,789,4.28,4.31,2.64,1
32328,0.3,Good,G,VVS1,63.1,58,789,4.28,4.31,2.71,1
32329,0.36,Ideal,E,VS2,61.7,55,789,4.57,4.63,2.84,1
32330,0.3,Ideal,E,VVS2,61.4,57,789,4.32,4.34,2.66,1
32331,0.3,Ideal,E,VVS2,61.8,56,789,4.33,4.35,2.68,1
32332,0.36,Premium,E,VS2,59.3,59,789,4.6,4.68,2.75,1
32333,0.3,Ideal,G,VVS1,62.6,54,789,4.31,4.32,2.7,1
32334,0.36,Very Good,E,VS2,60.3,62,789,4.56,4.59,2.76,1
32335,0.3,Very Good,H,IF,62.9,58,789,4.26,4.29,2.69,1
32336,0.36,Ideal,E,VS2,61.1,56,789,4.6,4.63,2.82,1
32337,0.3,Ideal,E,VVS2,61.8,56,789,4.31,4.33,2.67,1
32338,0.3,Very Good,G,VVS1,61.9,59,789,4.28,4.31,2.66,1
32339,0.36,Premium,E,VS2,61.8,58,789,4.52,4.57,2.81,1
32340,0.3,Good,G,VVS1,63.4,56,789,4.27,4.31,2.72,1
32341,0.3,Very Good,G,VVS1,62.1,56,789,4.29,4.31,2.67,1
32342,0.3,Very Good,E,VVS2,61.4,58,789,4.25,4.28,2.62,1
32343,0.3,Ideal,H,IF,61.8,55,789,4.3,4.31,2.66,1
32344,0.3,Ideal,G,VVS1,62.2,57,789,4.27,4.31,2.67,1
32345,0.3,Very Good,G,VVS1,60.6,61,789,4.33,4.35,2.63,1
32346,0.3,Ideal,H,IF,62.1,55,789,4.27,4.3,2.66,1
32347,0.36,Ideal,E,VS2,61.9,56,789,4.56,4.59,2.83,1
32348,0.3,Very Good,E,VVS2,61.9,59,789,4.27,4.32,2.66,1
32349,0.36,Ideal,E,VS2,61.9,56,789,4.55,4.56,2.82,1
32350,0.36,Ideal,E,VS2,61.2,56,789,4.6,4.62,2.82,1
32351,0.3,Premium,E,VVS2,61.8,58,789,4.26,4.29,2.64,1
32352,0.3,Ideal,E,VVS2,61.9,57,789,4.28,4.31,2.66,1
32353,0.31,Premium,E,VVS1,61.8,59,789,4.31,4.33,2.67,1
32354,0.31,Premium,E,VVS1,62,59,789,4.3,4.34,2.68,1
32355,0.36,Ideal,E,VS2,61.2,56,789,4.59,4.63,2.82,1
32356,0.3,Premium,G,VVS1,60.7,59,789,4.33,4.37,2.64,1
32357,0.36,Very Good,E,VS2,62.8,55,789,4.49,4.56,2.84,1
32358,0.3,Good,G,VVS1,63.1,56,789,4.25,4.28,2.69,1
32359,0.3,Premium,E,VVS2,61.4,59,789,4.32,4.34,2.66,1
32360,0.36,Premium,E,VS2,62,58,789,4.54,4.56,2.82,1
32361,0.3,Premium,G,VVS1,61.7,58,789,4.26,4.3,2.64,1
32362,0.3,Ideal,G,VVS1,61.7,55,789,4.32,4.34,2.67,1
32363,0.3,Very Good,F,VVS1,61,57,790,4.33,4.36,2.65,1
32364,0.39,Very Good,G,VS1,60.3,59,790,4.71,4.77,2.86,1
32365,0.35,Very Good,E,VS1,59.7,59,790,4.59,4.62,2.75,1
32366,0.32,Ideal,E,VVS2,61.6,55,790,4.42,4.45,2.73,1
32367,0.32,Ideal,E,VVS2,62,54,790,4.41,4.43,2.74,1
32368,0.4,Ideal,I,VVS1,61.4,58,790,4.72,4.76,2.91,1
32369,0.4,Ideal,I,VVS1,63,55,790,4.7,4.73,2.97,1
32370,0.3,Ideal,F,VVS1,62.4,57,790,4.25,4.28,2.66,1
32371,0.4,Ideal,F,VS2,62.6,56,790,4.71,4.72,2.95,1
32372,0.35,Ideal,D,VS2,62.5,56,790,4.51,4.55,2.83,1
32373,0.34,Ideal,E,VS1,61.2,55,790,4.51,4.54,2.77,1
32374,0.34,Ideal,E,VS1,61.6,55,790,4.5,4.52,2.78,1
32375,0.32,Ideal,D,VS1,62.2,54,790,4.41,4.43,2.75,1
32376,0.45,Ideal,H,SI1,61.3,55,790,4.96,4.99,3.05,1
32377,0.43,Ideal,G,SI1,61.5,57,790,4.84,4.87,2.98,1
32378,0.3,Fair,G,VVS1,58.6,66,790,4.36,4.41,2.57,1
32379,0.39,Very Good,J,VS1,63.5,58,790,4.64,4.59,2.93,1
32380,0.39,Very Good,J,VS1,63.1,56,790,4.7,4.62,2.94,1
